word                 start end  
SIL                  15094 15102
P                    15103 15107
K                    15108 15110
SIL                  15111 15141
P                    15142 15147
SIL                  15148 15191
P                    15192 15198
SIL                  15199 15211
SIL                  15212 15236
G                    15237 15242
M                    15243 15245
R                    15246 15250
EH                   15251 15254
AY                   15255 15259
AH                   15260 15262
N                    15263 15267
D                    15268 15271
OW                   15272 15278
N                    15279 15284
AA                   15285 15287
AW                   15288 15300
S                    15301 15310
AO                   15311 15321
D                    15322 15327
UW                   15328 15334
EY                   15335 15340
OW                   15341 15355
D                    15356 15359
HH                   15360 15362
UW                   15363 15368
S                    15369 15375
ER                   15376 15388
N                    15389 15393
D                    15394 15396
Z                    15397 15415
SIL                  15416 15465
T                    15466 15469
D                    15470 15475
R                    15476 15483
IY                   15484 15499
M                    15500 15511
Z                    15512 15519
HH                   15520 15524
UH                   15525 15530
OW                   15531 15536
M                    15537 15546
AA                   15547 15552
R                    15553 15557
T                    15558 15562
F                    15563 15567
AO                   15568 15582
B                    15583 15586
EH                   15587 15593
AA                   15594 15602
T                    15603 15607
SIL                  15608 15654
OW                   15655 15667
S                    15668 15680
D                    15681 15685
AO                   15686 15699
R                    15700 15706
Y                    15707 15715
ER                   15716 15720
V                    15721 15727
OW                   15728 15730
M                    15731 15733
R                    15734 15737
IH                   15738 15743
IY                   15744 15751
UW                   15752 15754
S                    15755 15773
T                    15774 15778
G                    15779 15786
T                    15787 15791
AE                   15792 15797
N                    15798 15803
AH                   15804 15806
N                    15807 15813
AE                   15814 15826
R                    15827 15830
ER                   15831 15834
AH                   15835 15838
T                    15839 15845
ER                   15846 15851
M                    15852 15854
G                    15855 15859
S                    15860 15869
Z                    15870 15876
G                    15877 15886
SIL                  15887 15926
AO                   15927 15931
T                    15932 15941
AA                   15942 15948
T                    15949 15953
T                    15954 15956
AA                   15957 15959
R                    15960 15963
R                    15964 15971
AO                   15972 15982
K                    15983 15994
AH                   15995 15999
L                    16000 16004
B                    16005 16011
AO                   16012 16025
M                    16026 16030
AO                   16031 16034
AW                   16035 16048
SIL                  16049 16081
M                    16082 16088
T                    16089 16091
R                    16092 16097
EH                   16098 16106
D                    16107 16111
Z                    16112 16114
V                    16115 16122
AO                   16123 16131
R                    16132 16137
Y                    16138 16145
UW                   16146 16151
UW                   16152 16158
NG                   16159 16161
T                    16162 16165
B                    16166 16179
AO                   16180 16183
AY                   16184 16188
AH                   16189 16191
D                    16192 16195
IY                   16196 16206
AO                   16207 16218
HH                   16219 16224
P                    16225 16228
EH                   16229 16234
R                    16235 16249
SIL                  16250 16341
SIL                  16342 16358
AO                   16359 16369
M                    16370 16373
W                    16374 16377
L                    16378 16382
S                    16383 16388
UH                   16389 16394
L                    16395 16397
D                    16398 16405
EH                   16406 16413
K                    16414 16417
D                    16418 16422
IH                   16423 16433
D                    16434 16444
EH                   16445 16447
T                    16448 16451
HH                   16452 16457
UW                   16458 16462
Z                    16463 16471
D                    16472 16479
EH                   16480 16495
Z                    16496 16499
S                    16500 16503
S                    16504 16507
IH                   16508 16515
Z                    16516 16524
AH                   16525 16532
Z                    16533 16542
B                    16543 16545
L                    16546 16548
UH                   16549 16556
T                    16557 16559
L                    16560 16567
UW                   16568 16570
AH                   16571 16573
Z                    16574 16584
R                    16585 16595
Z                    16596 16604
D                    16605 16609
L                    16610 16612
OW                   16613 16619
G                    16620 16625
L                    16626 16629
UH                   16630 16633
Z                    16634 16636
SH                   16637 16649
K                    16650 16656
+NSN+                16657 16679
SIL                  16680 16696
EY                   16697 16700
T                    16701 16714
AH                   16715 16717
Y                    16718 16723
AA                   16724 16731
B                    16732 16737
R                    16738 16740
UH                   16741 16743
JH                   16744 16751
UH                   16752 16759
