word                 start end
SIL                  0     45  
G                    46    53  
OW                   54    63  
F                    64    77  
AO                   78    85  
R                    86    93  
W                    94    100 
ER                   101   111 
D                    112   116 
T                    117   130 
AE                   131   139 
NG                   140   156 
IY                   157   166 
IH                   167   170 
ZH                   171   175 
ER                   176   189 
Z                    190   195 
S                    196   210 
V                    211   215 
SIL                  216   260 
