word                 start end  
SIL                  9967  9969 
K                    9970  9974 
HH                   9975  9977 
T                    9978  9983 
N                    9984  9988 
OW                   9989  9996 
M                    9997  9999 
W                    10000 10006
AA                   10007 10010
R                    10011 10018
OY                   10019 10027
AH                   10028 10030
V                    10031 10042
EH                   10043 10049
IY                   10050 10055
N                    10056 10058
IY                   10059 10061
UW                   10062 10066
TH                   10067 10075
ER                   10076 10087
T                    10088 10094
HH                   10095 10102
AE                   10103 10113
R                    10114 10121
AH                   10122 10124
NG                   10125 10128
HH                   10129 10132
N                    10133 10135
T                    10136 10138
T                    10139 10146
N                    10147 10149
HH                   10150 10156
G                    10157 10168
SIL                  10169 10178
S                    10179 10181
JH                   10182 10187
T                    10188 10192
L                    10193 10196
IY                   10197 10200
G                    10201 10207
OW                   10208 10212
NG                   10213 10219
M                    10220 10224
Z                    10225 10227
HH                   10228 10231
D                    10232 10234
UW                   10235 10240
Y                    10241 10243
N                    10244 10251
D                    10252 10255
R                    10256 10259
EH                   10260 10263
HH                   10264 10270
ER                   10271 10273
R                    10274 10286
ER                   10287 10289
AH                   10290 10292
NG                   10293 10301
ER                   10302 10307
AW                   10308 10310
T                    10311 10317
IH                   10318 10320
EY                   10321 10325
R                    10326 10329
IH                   10330 10332
M                    10333 10335
HH                   10336 10344
W                    10345 10348
AO                   10349 10363
R                    10364 10366
AO                   10367 10371
T                    10372 10376
AO                   10377 10384
L                    10385 10388
L                    10389 10395
AO                   10396 10404
NG                   10405 10412
W                    10413 10417
UH                   10418 10420
V                    10421 10424
TH                   10425 10429
B                    10430 10435
W                    10436 10438
OW                   10439 10443
AO                   10444 10450
L                    10451 10453
M                    10454 10457
NG                   10458 10463
B                    10464 10472
OW                   10473 10478
B                    10479 10484
N                    10485 10487
D                    10488 10492
DH                   10493 10496
Z                    10497 10508
HH                   10509 10513
SH                   10514 10520
B                    10521 10572
AH                   10573 10575
T                    10576 10579
R                    10580 10588
AH                   10589 10591
K                    10592 10599
P                    10600 10602
R                    10603 10606
AO                   10607 10613
L                    10614 10616
M                    10617 10629
B                    10630 10634
L                    10635 10644
T                    10645 10650
W                    10651 10653
G                    10654 10671
T                    10672 10674
AH                   10675 10677
EY                   10678 10680
DH                   10681 10733
P                    10734 10740
D                    10741 10743
R                    10744 10746
HH                   10747 10764
UW                   10765 10773
SIL                  10774 10781
DH                   10782 10786
ER                   10787 10789
EH                   10790 10797
R                    10798 10802
M                    10803 10805
N                    10806 10812
M                    10813 10821
D                    10822 10826
IH                   10827 10830
P                    10831 10835
HH                   10836 10842
IY                   10843 10847
UW                   10848 10855
IH                   10856 10862
Z                    10863 10865
D                    10866 10871
HH                   10872 10875
W                    10876 10883
AA                   10884 10891
N                    10892 10896
M                    10897 10901
DH                   10902 10910
AH                   10911 10916
D                    10917 10922
HH                   10923 10928
UW                   10929 10941
L                    10942 10948
V                    10949 10953
HH                   10954 10956
F                    10957 10960
V                    10961 10965
AE                   10966 10978
K                    10979 10981
F                    10982 10990
T                    10991 10996
Z                    10997 10999
HH                   11000 11005
UW                   11006 11010
N                    11011 11024
N                    11025 11051
SIL                  11052 11058
P                    11059 11061
F                    11062 11065
SIL                  11066 11134
SIL                  11135 11149
F                    11150 11166
W                    11167 11169
EH                   11170 11175
AW                   11176 11187
T                    11188 11190
N                    11191 11194
ER                   11195 11197
AE                   11198 11201
P                    11202 11206
TH                   11207 11213
EH                   11214 11220
TH                   11221 11228
F                    11229 11234
AA                   11235 11242
R                    11243 11246
B                    11247 11249
B                    11250 11256
EH                   11257 11262
HH                   11263 11265
AE                   11266 11269
SH                   11270 11272
F                    11273 11279
HH                   11280 11284
V                    11285 11290
Z                    11291 11296
D                    11297 11299
SIL                  11300 11309
V                    11310 11317
JH                   11318 11323
M                    11324 11326
P                    11327 11334
AH                   11335 11339
AA                   11340 11348
P                    11349 11355
K                    11356 11358
S                    11359 11368
DH                   11369 11375
D                    11376 11378
G                    11379 11381
D                    11382 11390
L                    11391 11400
EH                   11401 11407
V                    11408 11412
R                    11413 11418
M                    11419 11422
T                    11423 11429
HH                   11430 11435
+NSN+                11436 11477
SIL                  11478 11495
S                    11496 11502
SIL                  11503 11555
+SPN+                11556 11561
SIL                  11562 11587
B                    11588 11596
AY                   11597 11607
B                    11608 11613
D                    11614 11619
UH                   11620 11623
R                    11624 11626
ER                   11627 11645
+SPN+                11646 11648
R                    11649 11652
HH                   11653 11666
+NSN+                11667 11679
SIL                  11680 11693
B                    11694 11697
N                    11698 11700
Z                    11701 11705
IH                   11706 11709
UW                   11710 11716
AH                   11717 11720
S                    11721 11725
Z                    11726 11731
AA                   11732 11735
M                    11736 11742
L                    11743 11747
DH                   11748 11752
AH                   11753 11755
N                    11756 11760
L                    11761 11765
EY                   11766 11775
IH                   11776 11778
NG                   11779 11786
M                    11787 11793
Z                    11794 11799
IH                   11800 11805
N                    11806 11812
ER                   11813 11817
T                    11818 11825
D                    11826 11828
T                    11829 11839
SIL                  11840 11887
TH                   11888 11894
W                    11895 11903
AO                   11904 11906
L                    11907 11909
M                    11910 11918
AO                   11919 11923
T                    11924 11927
N                    11928 11931
B                    11932 11937
IH                   11938 11943
D                    11944 11946
N                    11947 11952
ER                   11953 11958
Z                    11959 11981
SIL                  11982 12036
B                    12037 12040
L                    12041 12043
B                    12044 12050
AA                   12051 12059
G                    12060 12063
R                    12064 12068
AH                   12069 12073
K                    12074 12085
AH                   12086 12088
EH                   12089 12093
HH                   12094 12098
AW                   12099 12103
SIL                  12104 12157
G                    12158 12163
AA                   12164 12172
B                    12173 12177
HH                   12178 12182
AA                   12183 12188
HH                   12189 12192
AA                   12193 12200
K                    12201 12219
K                    12220 12224
ER                   12225 12232
SIL                  12233 12250
TH                   12251 12256
SIL                  12257 12269
P                    12270 12274
AA                   12275 12282
B                    12283 12291
AA                   12292 12294
AA                   12295 12306
AY                   12307 12313
EH                   12314 12317
EY                   12318 12325
HH                   12326 12328
AH                   12329 12334
F                    12335 12339
SIL                  12340 12382
AA                   12383 12393
B                    12394 12401
AA                   12402 12413
L                    12414 12417
R                    12418 12428
OW                   12429 12466
OW                   12467 12469
NG                   12470 12481
SIL                  12482 12506
P                    12507 12510
AW                   12511 12521
B                    12522 12526
AO                   12527 12531
R                    12532 12537
R                    12538 12547
OW                   12548 12555
L                    12556 12562
AA                   12563 12571
D                    12572 12577
OW                   12578 12581
AH                   12582 12584
SIL                  12585 12631
G                    12632 12636
L                    12637 12639
EH                   12640 12648
T                    12649 12651
L                    12652 12655
AA                   12656 12663
T                    12664 12673
DH                   12674 12676
AH                   12677 12680
EY                   12681 12691
ER                   12692 12694
UW                   12695 12705
Z                    12706 12711
S                    12712 12715
T                    12716 12723
S                    12724 12727
P                    12728 12755
SIL                  12756 12787
AA                   12788 12795
B                    12796 12806
AA                   12807 12818
R                    12819 12829
EY                   12830 12836
ER                   12837 12839
AH                   12840 12843
M                    12844 12846
N                    12847 12854
SIL                  12855 12879
P                    12880 12889
OW                   12890 12894
B                    12895 12902
AA                   12903 12913
F                    12914 12917
S                    12918 12927
G                    12928 12935
OW                   12936 12949
SIL                  12950 12989
G                    12990 12996
L                    12997 13001
B                    13002 13006
AA                   13007 13016
F                    13017 13022
S                    13023 13028
P                    13029 13033
L                    13034 13045
