word                 start end  
SIL                  4925  4930 
DH                   4931  4933 
V                    4934  4971 
R                    4972  4974 
SIL                  4975  5002 
V                    5003  5006 
D                    5007  5012 
V                    5013  5045 
SIL                  5046  5064 
V                    5065  5068 
V                    5069  5074 
AO                   5075  5082 
OW                   5083  5086 
AA                   5087  5096 
EY                   5097  5111 
SIL                  5112  5114 
T                    5115  5126 
SIL                  5127  5164 
V                    5165  5168 
IY                   5169  5171 
HH                   5172  5175 
D                    5176  5180 
EH                   5181  5194 
T                    5195  5197 
HH                   5198  5211 
T                    5212  5215 
S                    5216  5221 
F                    5222  5225 
TH                   5226  5253 
V                    5254  5264 
R                    5265  5267 
DH                   5268  5272 
D                    5273  5276 
V                    5277  5284 
HH                   5285  5295 
AA                   5296  5304 
AH                   5305  5312 
AW                   5313  5315 
T                    5316  5321 
S                    5322  5326 
F                    5327  5329 
TH                   5330  5353 
V                    5354  5358 
Y                    5359  5361 
G                    5362  5366 
V                    5367  5391 
B                    5392  5399 
AO                   5400  5413 
AH                   5414  5417 
AE                   5418  5421 
P                    5422  5428 
T                    5429  5432 
S                    5433  5438 
T                    5439  5441 
TH                   5442  5450 
IY                   5451  5453 
TH                   5454  5482 
NG                   5483  5490 
JH                   5491  5498 
SIL                  5499  5501 
K                    5502  5517 
AW                   5518  5536 
AA                   5537  5544 
AH                   5545  5547 
T                    5548  5569 
V                    5570  5588 
V                    5589  5595 
F                    5596  5600 
TH                   5601  5613 
HH                   5614  5627 
AY                   5628  5636 
EY                   5637  5647 
EY                   5648  5655 
AH                   5656  5658 
T                    5659  5663 
IH                   5664  5667 
F                    5668  5674 
SIL                  5675  5700 
V                    5701  5705 
V                    5706  5718 
P                    5719  5726 
IY                   5727  5751 
Y                    5752  5758 
IY                   5759  5770 
SIL                  5771  5801 
P                    5802  5805 
SH                   5806  5824 
IY                   5825  5830 
IY                   5831  5852 
Y                    5853  5861 
UW                   5862  5865 
Z                    5866  5869 
S                    5870  5877 
Z                    5878  5881 
F                    5882  5889 
L                    5890  5894 
SIL                  5895  5941 
D                    5942  5946 
IY                   5947  5986 
Y                    5987  5989 
UW                   5990  5993 
NG                   5994  5998 
SIL                  5999  6017 
F                    6018  6031 
DH                   6032  6036 
IY                   6037  6070 
D                    6071  6073 
IY                   6074  6082 
SIL                  6083  6144 
B                    6145  6148 
EH                   6149  6163 
EY                   6164  6170 
AH                   6171  6173 
T                    6174  6187 
IH                   6188  6190 
T                    6191  6197 
SIL                  6198  6216 
V                    6217  6219 
T                    6220  6226 
V                    6227  6241 
D                    6242  6246 
K                    6247  6257 
ER                   6258  6271 
ER                   6272  6275 
HH                   6276  6285 
UW                   6286  6288 
S                    6289  6293 
S                    6294  6297 
TH                   6298  6302 
HH                   6303  6320 
UW                   6321  6323 
B                    6324  6327 
SIL                  6328  6349 
V                    6350  6354 
P                    6355  6358 
V                    6359  6370 
G                    6371  6376 
EY                   6377  6379 
IY                   6380  6391 
HH                   6392  6394 
V                    6395  6399 
D                    6400  6402 
T                    6403  6415 
SIL                  6416  6479 
V                    6480  6483 
F                    6484  6491 
IY                   6492  6528 
SIL                  6529  6572 
V                    6573  6580 
SIL                  6581  6596 
G                    6597  6606 
R                    6607  6617 
IY                   6618  6631 
EY                   6632  6640 
V                    6641  6651 
EY                   6652  6661 
SIL                  6662  6704 
V                    6705  6711 
JH                   6712  6718 
K                    6719  6729 
IY                   6730  6744 
IY                   6745  6759 
IY                   6760  6763 
IY                   6764  6767 
SIL                  6768  6812 
B                    6813  6816 
Y                    6817  6819 
IH                   6820  6829 
T                    6830  6839 
D                    6840  6842 
S                    6843  6846 
Z                    6847  6855 
SIL                  6856  6920 
G                    6921  6926 
IY                   6927  6944 
TH                   6945  6953 
S                    6954  6963 
F                    6964  6970 
SIL                  6971  7022 
V                    7023  7027 
T                    7028  7036 
JH                   7037  7050 
IY                   7051  7055 
EY                   7056  7075 
Y                    7076  7079 
IY                   7080  7084 
SIL                  7085  7117 
V                    7118  7120 
P                    7121  7128 
K                    7129  7141 
EY                   7142  7154 
Y                    7155  7157 
IY                   7158  7184 
SIL                  7185  7209 
F                    7210  7212 
TH                   7213  7223 
B                    7224  7227 
L                    7228  7230 
UW                   7231  7238 
L                    7239  7243 
IY                   7244  7250 
EY                   7251  7261 
IY                   7262  7273 
IY                   7274  7279 
IY                   7280  7282 
K                    7283  7287 
SIL                  7288  7306 
V                    7307  7318 
SIL                  7319  7342 
HH                   7343  7349 
HH                   7350  7354 
M                    7355  7364 
N                    7365  7367 
IY                   7368  7404 
D                    7405  7407 
SIL                  7408  7427 
P                    7428  7464 
SIL                  7465  7468 
G                    7469  7471 
HH                   7472  7478 
Y                    7479  7483 
N                    7484  7486 
IY                   7487  7497 
HH                   7498  7501 
IY                   7502  7522 
HH                   7523  7525 
TH                   7526  7530 
T                    7531  7539 
TH                   7540  7544 
P                    7545  7554 
SIL                  7555  7594 
P                    7595  7608 
EY                   7609  7624 
NG                   7625  7638 
NG                   7639  7641 
IH                   7642  7649 
T                    7650  7652 
+NSN+                7653  7660 
SIL                  7661  7707 
B                    7708  7712 
OW                   7713  7721 
UW                   7722  7729 
V                    7730  7732 
SIL                  7733  7739 
T                    7740  7747 
HH                   7748  7760 
UW                   7761  7765 
SIL                  7766  7792 
V                    7793  7798 
SIL                  7799  7815 
CH                   7816  7825 
W                    7826  7833 
AO                   7834  7847 
R                    7848  7853 
EY                   7854  7864 
SIL                  7865  7878 
SIL                  7879  7918 
