word                 start end  
SIL                  10905 10907
HH                   10908 10914
OY                   10915 10925
AE                   10926 10931
N                    10932 10934
D                    10935 10960
M                    10961 10963
W                    10964 10971
AA                   10972 10976
N                    10977 10984
S                    10985 10992
D                    10993 10998
DH                   10999 11003
AH                   11004 11008
W                    11009 11015
IH                   11016 11020
Z                    11021 11024
IY                   11025 11030
Y                    11031 11044
AH                   11045 11052
NG                   11053 11056
UW                   11057 11069
ER                   11070 11074
AE                   11075 11080
AY                   11081 11086
+SPN+                11087 11093
T                    11094 11096
M                    11097 11100
EH                   11101 11111
M                    11112 11115
N                    11116 11123
AE                   11124 11141
HH                   11142 11151
AW                   11152 11159
D                    11160 11174
AY                   11175 11178
HH                   11179 11187
EY                   11188 11192
K                    11193 11199
UH                   11200 11205
D                    11206 11210
N                    11211 11217
EH                   11218 11223
D                    11224 11227
EH                   11228 11233
M                    11234 11244
EH                   11245 11254
K                    11255 11260
AE                   11261 11268
P                    11269 11276
IH                   11277 11280
UW                   11281 11286
TH                   11287 11290
T                    11291 11293
W                    11294 11297
N                    11298 11300
AA                   11301 11316
EH                   11317 11320
N                    11321 11325
D                    11326 11331
N                    11332 11334
D                    11335 11341
AH                   11342 11344
AE                   11345 11365
N                    11366 11370
SIL                  11371 11406
W                    11407 11411
EH                   11412 11415
N                    11416 11420
EH                   11421 11426
V                    11427 11431
IH                   11432 11438
T                    11439 11441
Y                    11442 11447
UW                   11448 11452
S                    11453 11456
HH                   11457 11462
P                    11463 11467
R                    11468 11472
EH                   11473 11480
N                    11481 11483
UW                   11484 11490
Z                    11491 11495
AE                   11496 11512
T                    11513 11516
S                    11517 11522
HH                   11523 11526
W                    11527 11529
OW                   11530 11532
T                    11533 11536
IH                   11537 11543
T                    11544 11546
M                    11547 11552
N                    11553 11555
IH                   11556 11558
SH                   11559 11568
UW                   11569 11577
IH                   11578 11581
D                    11582 11584
HH                   11585 11589
L                    11590 11593
AY                   11594 11604
G                    11605 11608
+SPN+                11609 11612
D                    11613 11615
T                    11616 11618
IH                   11619 11622
G                    11623 11630
EH                   11631 11636
L                    11637 11639
AE                   11640 11651
P                    11652 11655
W                    11656 11662
UH                   11663 11665
D                    11666 11668
HH                   11669 11679
EH                   11680 11683
AO                   11684 11686
N                    11687 11692
M                    11693 11697
SIL                  11698 11702
AH                   11703 11705
T                    11706 11709
+NSN+                11710 11719
SIL                  11720 11732
Y                    11733 11735
UW                   11736 11740
DH                   11741 11747
EH                   11748 11760
N                    11761 11767
Y                    11768 11771
AE                   11772 11782
N                    11783 11787
T                    11788 11794
S                    11795 11802
EH                   11803 11809
TH                   11810 11814
SIL                  11815 11842
AY                   11843 11851
DH                   11852 11857
AE                   11858 11866
N                    11867 11870
P                    11871 11875
N                    11876 11883
AH                   11884 11900
SIL                  11901 11958
Y                    11959 11963
UW                   11964 11968
W                    11969 11972
UW                   11973 11980
N                    11981 11984
Z                    11985 11989
S                    11990 11996
EY                   11997 12006
Y                    12007 12020
EH                   12021 12023
EY                   12024 12026
AH                   12027 12031
S                    12032 12037
S                    12038 12052
P                    12053 12055
SIL                  12056 12064
P                    12065 12068
OW                   12069 12074
N                    12075 12082
M                    12083 12088
+SPN+                12089 12098
AE                   12099 12104
N                    12105 12111
SIL                  12112 12117
DH                   12118 12121
IY                   12122 12127
IH                   12128 12134
DH                   12135 12141
AE                   12142 12145
N                    12146 12148
SIL                  12149 12197
DH                   12198 12206
OW                   12207 12209
DH                   12210 12213
AH                   12214 12216
UW                   12217 12223
OW                   12224 12231
W                    12232 12238
OY                   12239 12246
EY                   12247 12250
SH                   12251 12267
DH                   12268 12270
EH                   12271 12276
R                    12277 12280
T                    12281 12283
P                    12284 12291
M                    12292 12298
EY                   12299 12305
K                    12306 12314
M                    12315 12320
Y                    12321 12323
AH                   12324 12326
D                    12327 12330
CH                   12331 12341
OW                   12342 12351
IH                   12352 12355
V                    12356 12358
Z                    12359 12378
SIL                  12379 12432
HH                   12433 12438
IH                   12439 12441
Z                    12442 12444
S                    12445 12449
AA                   12450 12462
N                    12463 12467
SH                   12468 12470
HH                   12471 12475
EH                   12476 12482
M                    12483 12487
AH                   12488 12490
M                    12491 12496
N                    12497 12501
S                    12502 12511
EH                   12512 12518
D                    12519 12526
D                    12527 12530
IH                   12531 12534
HH                   12535 12545
IH                   12546 12552
M                    12553 12564
SIL                  12565 12613
P                    12614 12616
N                    12617 12623
EH                   12624 12631
L                    12632 12640
UH                   12641 12646
K                    12647 12653
HH                   12654 12658
IY                   12659 12672
AH                   12673 12681
SIL                  12682 12715
T                    12716 12718
N                    12719 12726
OW                   12727 12740
AH                   12741 12743
N                    12744 12747
IH                   12748 12752
Z                    12753 12759
G                    12760 12766
AE                   12767 12775
NG                   12776 12781
N                    12782 12785
T                    12786 12791
AH                   12792 12794
K                    12795 12799
K                    12800 12805
HH                   12806 12811
EY                   12812 12821
IH                   12822 12826
V                    12827 12829
F                    12830 12839
IY                   12840 12843
IY                   12844 12848
NG                   12849 12851
DH                   12852 12855
AH                   12856 12860
V                    12861 12865
HH                   12866 12876
IY                   12877 12880
T                    12881 12885
K                    12886 12890
HH                   12891 12896
AE                   12897 12901
R                    12902 12906
EY                   12907 12914
AO                   12915 12922
M                    12923 12928
L                    12929 12934
AY                   12935 12945
SIL                  12946 12948
P                    12949 12953
HH                   12954 12956
IH                   12957 12963
V                    12964 12969
Z                    12970 12992
SIL                  12993 13014
SIL                  13015 13035
Y                    13036 13041
UW                   13042 13044
HH                   13045 13050
AE                   13051 13055
V                    13056 13060
N                    13061 13068
DH                   13069 13071
AH                   13072 13082
M                    13083 13093
OW                   13094 13101
M                    13102 13113
AA                   13114 13125
AY                   13126 13131
M                    13132 13136
D                    13137 13141
DH                   13142 13146
AH                   13147 13149
M                    13150 13156
AH                   13157 13160
B                    13161 13163
B                    13164 13168
L                    13169 13176
EH                   13177 13186
D                    13187 13191
IH                   13192 13194
V                    13195 13199
P                    13200 13209
R                    13210 13214
AE                   13215 13229
P                    13230 13237
S                    13238 13261
SIL                  13262 13314
W                    13315 13324
AH                   13325 13329
N                    13330 13332
L                    13333 13340
EY                   13341 13353
N                    13354 13357
IY                   13358 13365
D                    13366 13372
EH                   13373 13385
D                    13386 13389
EY                   13390 13401
SIL                  13402 13414
DH                   13415 13420
AH                   13421 13423
R                    13424 13433
AE                   13434 13442
P                    13443 13447
T                    13448 13454
Z                    13455 13463
F                    13464 13468
IH                   13469 13481
V                    13482 13485
IH                   13486 13489
D                    13490 13493
G                    13494 13500
R                    13501 13503
EH                   13504 13512
NG                   13513 13516
T                    13517 13528
N                    13529 13536
OW                   13537 13542
N                    13543 13546
L                    13547 13549
AY                   13550 13558
Z                    13559 13566
AH                   13567 13570
N                    13571 13577
DH                   13578 13580
AH                   13581 13583
L                    13584 13592
AO                   13593 13602
F                    13603 13619
T                    13620 13631
SIL                  13632 13690
DH                   13691 13694
AH                   13695 13698
P                    13699 13702
P                    13703 13711
AY                   13712 13726
N                    13727 13732
R                    13733 13737
AE                   13738 13750
F                    13751 13761
P                    13762 13764
T                    13765 13767
AH                   13768 13775
DH                   13776 13778
ZH                   13779 13781
W                    13782 13790
AH                   13791 13793
L                    13794 13799
SIL                  13800 13803
OW                   13804 13811
L                    13812 13829
R                    13830 13839
AO                   13840 13843
AH                   13844 13846
K                    13847 13855
M                    13856 13874
SIL                  13875 13907
T                    13908 13911
Z                    13912 13918
DH                   13919 13922
IH                   13923 13928
V                    13929 13933
HH                   13934 13936
UW                   13937 13940
DH                   13941 13949
AH                   13950 13953
B                    13954 13964
AW                   13965 13970
AA                   13971 13983
N                    13984 13989
L                    13990 13994
