INFO: pocketsphinx.c(1191): SIL G OW F AO R W ER D T AE NG IY IH ZH ER Z S V SIL (-7482)
word                 start end   pprob ascr       lscr       lback
SIL                  0     45    1.000 -738       0          0  
G                    46    53    1.000 -153       -103       0  
OW                   54    63    1.000 -148       -215       0  
F                    64    77    1.000 -115       -137       0  
AO                   78    85    1.000 -267       -113       0  
R                    86    93    1.000 -81        -149       0  
W                    94    100   1.000 -136       -140       0  
ER                   101   111   1.000 -190       -226       0  
D                    112   116   1.000 -73        -133       0  
T                    117   130   1.000 -465       -165       0  
AE                   131   139   1.000 -241       -99        0  
NG                   140   156   1.000 -404       -214       0  
IY                   157   166   1.000 -256       -185       0  
IH                   167   170   1.000 -10        -124       0  
ZH                   171   175   1.000 -112       -123       0  
ER                   176   189   1.000 -182       -159       0  
Z                    190   195   1.000 -134       -129       0  
S                    196   210   1.000 -134       -185       0  
V                    211   215   1.000 -168       -133       0  
SIL                  216   260   1.000 -589       -154       0
